_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
1026240,4154541,2020.0,,1956.0,PRIVATE,8,Eglinton-Lawrence,65 WASDALE CRES,3,11,2022-05-27,85,Evaluation needs to be conducted in 2 years,16,5.0,5.0,5.0,5.0,3.0,5.0,,4.0,,,5.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,,N0823,43.7301212379,-79.4376331135,309808.878,4843130.784
1026241,4156118,2017.0,,1969.0,TCHC,13,Toronto Centre,325 BLEECKER ST,24,327,2022-05-27,82,Evaluation needs to be conducted in 2 years,18,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,S1323,43.669381383,-79.37437191,314915.151,4836389.54
1026242,4155920,2017.0,,1967.0,PRIVATE,5,York South-Weston,1775 WESTON RD,25,245,2022-05-27,71,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,,W0527,43.6994166431,-79.51287144,303746.982,4839717.978999999
1026243,4156316,2017.0,,1969.0,TCHC,19,Beaches-East York,444 LUMSDEN AVE,42,183,2022-05-27,64,Evaluation needs to be conducted in 1 year,20,4.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,S1930,43.695629657,-79.302310982,320791.011,4839337.097
1026244,4156250,2017.0,,1964.0,TCHC,13,Toronto Centre,295 SHUTER ST,16,300,2022-05-27,78,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,S1329,43.65644665600001,-79.36542470100001,315647.841,4834985.943
1026245,4156031,2017.0,,1965.0,PRIVATE,19,Beaches-East York,165 BARRINGTON AVE,19,265,2022-05-27,76,Evaluation needs to be conducted in 2 years,19,4.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,,S1930,,,320678.849,4839169.774
1026246,4153194,2019.0,,1920.0,PRIVATE,11,University-Rosedale,245 A HOWLAND AVE,3,24,2022-05-27,77,Evaluation needs to be conducted in 2 years,13,4.0,4.0,4.0,4.0,,4.0,,4.0,,,3.0,5.0,5.0,3.0,3.0,4.0,,3.0,,,S1126,43.672858631000004,-79.411200872,311944.724,4836772.006
1026247,4156176,2018.0,,1953.0,PRIVATE,19,Beaches-East York,7 STAG HILL DR,4,37,2022-05-27,89,Evaluation needs to be conducted in 3 years,17,5.0,4.0,5.0,4.0,4.0,5.0,,4.0,,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,,S1927,43.703054654,-79.310513888,320053.882,4840170.906
1026248,4265577,2017.0,,2012.0,SOCIAL HOUSING,13,Toronto Centre,425 DUNDAS ST E,5,32,2022-05-26,75,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,,,3.0,4.0,3.0,4.0,4.0,4.0,,4.0,,,S1329,43.65908018,-79.366823235,315526.799,4835242.136
1026249,4154755,2017.0,,1970.0,TCHC,18,Willowdale,175 CUMMER AVE,4,246,2022-05-26,88,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,4.0,4.0,N1823,43.78785777,-79.408640775,312137.248,4849548.181
1026250,4156712,2017.0,,2014.0,TCHC,13,Toronto Centre,40 LOWER RIVER ST.,8,128,2022-05-26,82,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,S1336,,,316411.458,4834934.032
1026251,4288801,2017.0,,1920.0,PRIVATE,19,Beaches-East York,84 WILLOW AVE,3,18,2022-05-26,77,Evaluation needs to be conducted in 2 years,15,4.0,3.0,4.0,4.0,5.0,5.0,,4.0,,4.0,3.0,4.0,5.0,3.0,4.0,3.0,,3.0,,,S1942,43.6726703072,-79.2866950453,321984.865,4836768.337
1026252,4155806,2017.0,,1950.0,PRIVATE,20,Scarborough Southwest,1641 KINGSTON RD,3,11,2022-05-26,65,Evaluation needs to be conducted in 1 year,16,3.0,4.0,5.0,3.0,2.0,3.0,,3.0,,3.0,3.0,3.0,4.0,2.0,3.0,4.0,,3.0,4.0,,E2034,43.690864521,-79.265477585,323718.011,4838812.556
1026253,4152821,,,1970.0,PRIVATE,24,Scarborough-Guildwood,3827 LAWRENCE AVE E,7,88,2022-05-26,72,Evaluation needs to be conducted in 2 years,19,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,,E2431,43.7620489485,-79.211440469,328018.711,4846716.13
1026254,4156430,2017.0,,1972.0,TCHC,7,Humber River-Black Creek,7 ARLETA AVE,4,201,2022-05-26,78,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,W0732,43.7420099966,-79.5008716177,304714.372,4844449.658
1026255,4167701,2017.0,,1980.0,TCHC,13,Toronto Centre,417 GERRARD ST E,3,12,2022-05-26,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,5.0,3.0,3.0,4.0,,4.0,4.0,,S1330,43.6620246346,-79.3620805585,315907.982,4835572.868
1026256,4250524,2017.0,,1971.0,PRIVATE,22,Scarborough-Agincourt,10 CHICHESTER PL,16,220,2022-05-25,86,Evaluation needs to be conducted in 3 years,20,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,E2225,43.776428638,-79.32148352600001,319154.674,4848289.796
1026257,4169173,2017.0,,1960.0,PRIVATE,12,Toronto-St. Paul's,1685 EGLINTON AVE W,3,38,2022-05-25,73,Evaluation needs to be conducted in 2 years,14,3.0,4.0,5.0,3.0,,3.0,,3.0,,,3.0,4.0,5.0,3.0,4.0,4.0,,3.0,4.0,,S1222,43.696203167,-79.446372358,309106.94,4839363.1110000005
1026258,4153751,,,1955.0,PRIVATE,11,University-Rosedale,171 ST CLAIR AVE E,4,36,2022-05-24,61,Evaluation needs to be conducted in 1 year,18,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,,,S1121,43.689555816,-79.38601833050001,313973.18100000004,4838628.565
1026259,4254280,2017.0,,1957.0,PRIVATE,21,Scarborough Centre,2700 LAWRENCE AVE E,7,111,2022-05-24,70,Evaluation needs to be conducted in 2 years,20,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,E2129,43.752739741999996,-79.26107689199999,324024.834,4845670.215
1026260,4264301,2017.0,,1961.0,PRIVATE,16,Don Valley East,60 NORTH HILLS TER,5,71,2022-05-24,83,Evaluation needs to be conducted in 2 years,20,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,N1627,43.73018689,-79.34090279899999,317616.98,4843168.044
1026261,5051013,2018.0,,1962.0,PRIVATE,2,Etobicoke Centre,505 THE WEST MALL,6,59,2022-05-24,88,Evaluation needs to be conducted in 3 years,18,4.0,3.0,5.0,5.0,4.0,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,W0231,43.648859107,-79.568021211,299290.266,4834104.598
1026262,4156557,2017.0,,1970.0,TCHC,24,Scarborough-Guildwood,3941 LAWRENCE AVE E,3,33,2022-05-21,65,Evaluation needs to be conducted in 1 year,17,2.0,2.0,5.0,3.0,3.0,4.0,,3.0,,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,E2431,43.763624835,-79.2044874649,328577.92600000004,4846893.162
1026263,4589593,,,,PRIVATE,10,Spadina-Fort York,49 MC CAUL ST,4,40,2022-05-20,87,Evaluation needs to be conducted in 3 years,14,5.0,3.0,5.0,4.0,,5.0,,5.0,,,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,,,S1024,43.651593328000004,-79.390062452,313646.234,4834433.527
1026264,4153639,2019.0,,1915.0,PRIVATE,14,Toronto-Danforth,279 WOODFIELD RD,4,42,2022-05-20,55,Evaluation needs to be conducted in 1 year,13,2.0,2.0,3.0,2.0,,3.0,,4.0,,,2.0,3.0,5.0,2.0,3.0,3.0,,2.0,,,S1439,43.671655465,-79.32370109899999,319000.793,4836649.59
1026265,4152557,2017.0,,1932.0,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2022-05-20,83,Evaluation needs to be conducted in 2 years,14,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,E2033,43.674568931,-79.279856653,322540.37100000004,4836989.545
1026266,4152822,2017.0,,1975.0,PRIVATE,24,Scarborough-Guildwood,3895 LAWRENCE AVE E,10,114,2022-05-20,69,Evaluation needs to be conducted in 2 years,19,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,,E2431,43.763136467200006,-79.2079803013,328296.891,4846837.916
1026267,4152556,2017.0,,1937.0,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2022-05-20,81,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,3.0,4.0,4.0,,5.0,4.0,,E2033,43.6747748062,-79.2796021139,322556.21,4837003.617
1026268,4152846,2017.0,,1967.0,PRIVATE,24,Scarborough-Guildwood,4000 LAWRENCE AVE E,12,141,2022-05-20,91,Evaluation needs to be conducted in 3 years,19,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,E2428,43.766112076499994,-79.20001022699999,328937.41,4847170.768999999
1026269,4152845,2017.0,,1967.0,PRIVATE,24,Scarborough-Guildwood,4010 LAWRENCE AVE E,14,220,2022-05-20,87,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,E2428,43.7667315745,-79.1988475843,329030.765,4847239.93
1026270,4153149,2019.0,,1911.0,PRIVATE,9,Davenport,225 GLADSTONE AVE,4,27,2022-05-19,60,Evaluation needs to be conducted in 1 year,14,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,,,3.0,5.0,2.0,3.0,3.0,3.0,,3.0,,,S0937,43.6493592565,-79.4295355197,310468.76399999997,4834158.985
1026271,4154234,2017.0,,1971.0,PRIVATE,7,Humber River-Black Creek,1825 FINCH AVE W,16,171,2022-05-19,76,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,,3.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,,W0730,43.757886117,-79.511912431,303825.107,4846214.47
1026272,4154158,2017.0,,1966.0,PRIVATE,15,Don Valley West,79 THORNCLIFFE PARK DR,17,319,2022-05-19,86,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,,N1533,43.706138296499994,-79.341500497,317558.451,4840476.663
1026273,4153786,2017.0,,1956.0,PRIVATE,15,Don Valley West,299 FORMAN AVE,4,29,2022-05-19,54,Evaluation needs to be conducted in 1 year,14,2.0,3.0,3.0,3.0,,3.0,,3.0,,,3.0,3.0,5.0,2.0,2.0,2.0,,3.0,1.0,,N1530,43.7077721579,-79.38523195970001,314033.795,4840652.473
1026274,4155016,2017.0,,1952.0,PRIVATE,9,Davenport,365 WESTMOUNT AVE,3,29,2022-05-19,73,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,2.0,3.0,,4.0,,,4.0,4.0,5.0,3.0,3.0,4.0,,5.0,3.0,,S0925,43.6850733378,-79.4444390829,309263.80100000004,4838125.757
1026275,4285956,2017.0,,1968.0,TCHC,5,York South-Weston,121 HUMBER BLVD,14,215,2022-05-19,65,Evaluation needs to be conducted in 1 year,19,3.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,W0539,43.6784336179,-79.48189258880001,,
1026276,4154676,2018.0,,1940.0,PRIVATE,8,Eglinton-Lawrence,284 LAWRENCE AVE W,3,15,2022-05-19,68,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,2.0,3.0,4.0,,4.0,,4.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,3.0,1.0,,N0824,43.722781903999994,-79.4147683838,311651.724,4842317.086
1026277,5004754,,,,PRIVATE,14,Toronto-Danforth,230 COSBURN AVE,3,32,2022-05-19,64,Evaluation needs to be conducted in 1 year,16,3.0,2.0,4.0,3.0,4.0,4.0,,3.0,,,3.0,2.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,,S1422,43.6907505375,-79.3437401255,317381.172,4838766.775
1026278,5046735,,,,PRIVATE,10,Spadina-Fort York,165 BATHURST ST,6,96,2022-05-19,72,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,3.0,5.0,4.0,,3.0,4.0,,4.0,3.0,3.0,2.0,4.0,3.0,,4.0,,,S1029,43.64673173,-79.40357889,312555.982,4833868.531
1026279,4154376,2017.0,,1953.0,PRIVATE,6,York Centre,939-941 WILSON AVE,3,16,2022-05-19,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,,5.0,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,4.0,,N0632,43.72933702,-79.471517906,307073.58,4843029.948
1026280,4154390,2017.0,,1971.0,PRIVATE,6,York Centre,1491 WILSON AVE,4,40,2022-05-19,92,Evaluation needs to be conducted in 3 years,17,5.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,N0631,43.7210593551,-79.5047297893,304403.425,4842122.21
1026281,4152808,2018.0,,1977.0,PRIVATE,24,Scarborough-Guildwood,399 MARKHAM RD,15,254,2022-05-19,71,Evaluation needs to be conducted in 2 years,18,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,,E2430,43.749222652,-79.2207962727,327270.184,4845288.627
1026282,4154394,2017.0,,1960.0,PRIVATE,6,York Centre,1393 WILSON AVE,4,82,2022-05-19,91,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,N0631,43.7217077411,-79.50033280779999,304757.70399999997,4842194.225
1026283,4156379,2017.0,,1940.0,PRIVATE,20,Scarborough Southwest,1449 KINGSTON RD,3,14,2022-05-18,59,Evaluation needs to be conducted in 1 year,16,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,E2034,43.687794468,-79.270325262,323298.75800000003,4838460.592
1026284,4155805,2017.0,,1950.0,PRIVATE,20,Scarborough Southwest,1633 KINGSTON RD,3,10,2022-05-18,73,Evaluation needs to be conducted in 2 years,14,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,,,3.0,4.0,5.0,3.0,4.0,4.0,,3.0,,,E2034,43.690864521,-79.265477585,323718.011,4838812.556
1026285,4155804,2017.0,,1950.0,PRIVATE,20,Scarborough Southwest,1625 KINGSTON RD,3,11,2022-05-18,64,Evaluation needs to be conducted in 1 year,16,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,3.0,5.0,3.0,3.0,4.0,,3.0,3.0,,E2034,43.690864521,-79.265477585,323718.011,4838812.556
1026286,4156385,2017.0,,1940.0,PRIVATE,20,Scarborough Southwest,1481 KINGSTON RD,3,15,2022-05-18,59,Evaluation needs to be conducted in 1 year,15,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,E2034,43.688423918000005,-79.269500963,323393.784,4838549.187
1026287,4156035,2017.0,,1940.0,PRIVATE,20,Scarborough Southwest,1463 KINGSTON RD,3,14,2022-05-18,60,Evaluation needs to be conducted in 1 year,15,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,,,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,3.0,,E2034,43.687961103999996,-79.269766888,323354.61100000003,4838512.321
1026288,4250265,2017.0,,1987.0,SOCIAL HOUSING,11,University-Rosedale,153 BORDEN ST,3,45,2022-05-18,61,Evaluation needs to be conducted in 1 year,15,3.0,3.0,5.0,3.0,3.0,3.0,,2.0,,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,,,S1134,43.6622608263,-79.4069405435,312289.812,4835594.044
1026289,4154006,2017.0,,1961.0,PRIVATE,8,Eglinton-Lawrence,1112 AVENUE RD,4,13,2022-05-18,80,Evaluation needs to be conducted in 2 years,16,5.0,4.0,5.0,4.0,4.0,5.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,,N0833,43.70828783899999,-79.4106432574,311985.80600000004,4840707.244
1026290,4155764,2019.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,1 A BIRCHLEA AVE,3,21,2022-05-18,64,Evaluation needs to be conducted in 1 year,15,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,W0334,43.592762174499995,-79.527405433,302571.59,4827869.423
1026291,4154210,2017.0,,1954.0,PRIVATE,7,Humber River-Black Creek,1780 WILSON AVE,3,31,2022-05-18,61,Evaluation needs to be conducted in 1 year,15,3.0,2.0,2.0,3.0,3.0,3.0,,2.0,,,3.0,4.0,5.0,4.0,4.0,3.0,,3.0,2.0,,W0734,43.7191256895,-79.5181150514,303324.903,4841907.561000001
1026292,4269424,2017.0,,1950.0,SOCIAL HOUSING,14,Toronto-Danforth,793 GERRARD ST E,5,28,2022-05-18,64,Evaluation needs to be conducted in 1 year,15,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,,3.0,4.0,1.0,3.0,3.0,3.0,,3.0,3.0,,S1434,43.666764817200004,-79.3456335069,317233.48,4836101.799
1026293,4907186,2021.0,,2020.0,PRIVATE,18,Willowdale,35 GREENFIELD AVE,36,361,2022-05-18,88,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,,4.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,N1826,43.763392611,-79.410156052,312018.228,4846829.996
1026294,4155115,,,1956.0,PRIVATE,5,York South-Weston,9 GREENTREE CRT,3,28,2022-05-18,73,Evaluation needs to be conducted in 2 years,14,3.0,4.0,3.0,4.0,4.0,5.0,,3.0,,,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,,,W0532,43.692147125299996,-79.4794625352,306440.017,4838910.374
1026295,4153991,2017.0,,1950.0,PRIVATE,12,Toronto-St. Paul's,115 EGLINTON AVE W,3,18,2022-05-18,61,Evaluation needs to be conducted in 1 year,14,3.0,3.0,4.0,2.0,2.0,3.0,,3.0,,,3.0,2.0,5.0,3.0,4.0,3.0,,3.0,,,S1227,43.705692166300004,-79.402181637,312668.05100000004,4840419.64
1026296,4233146,2017.0,,1958.0,PRIVATE,21,Scarborough Centre,1731 VICTORIA PARK AVE,4,43,2022-05-18,84,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,,E2131,43.73710603479999,-79.3073327749,320304.15,4843922.831
1026297,4155204,2017.0,,1960.0,PRIVATE,4,Parkdale-High Park,4033 OLD DUNDAS ST,5,47,2022-05-18,58,Evaluation needs to be conducted in 1 year,16,3.0,3.0,4.0,3.0,3.0,2.0,,3.0,,,3.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,,S0421,43.6637082321,-79.5023379758,304595.728,4835750.825
1026298,4155205,2017.0,,1959.0,PRIVATE,4,Parkdale-High Park,4029 OLD DUNDAS ST,8,29,2022-05-18,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,4.0,3.0,3.0,,3.0,3.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,S0421,43.6639708719,-79.5021353711,304612.07,4835780.002
1026299,4152930,2017.0,,1986.0,PRIVATE,4,Parkdale-High Park,66 OAKMOUNT RD,12,171,2022-05-18,87,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,S0428,43.656653483199996,-79.46369050930001,307713.136,4834967.66
1026300,4817599,2020.0,,1900.0,PRIVATE,12,Toronto-St. Paul's,595 ST CLAIR AVE W,3,15,2022-05-18,74,Evaluation needs to be conducted in 2 years,13,4.0,3.0,4.0,3.0,,4.0,,5.0,,,3.0,3.0,4.0,4.0,4.0,4.0,,3.0,,,S1235,43.6821585882,-79.4220166514,311071.858,4837803.382
